generation,pop_size,objective_best,objective_mean,objective_median,objective_min,objective_max,time_total_mean,time_select_mean,time_anc_mean,time_overhead_mean,file
31,10,0.21987,0.230144,0.23251,0.21987,0.23469,128.43015959262848,122.03306744098663,5.864907360076904,0.5321847915649414,population_generation_31.json
32,10,0.21987,0.228803,0.23196,0.21987,0.23405,128.38996510505677,121.90411634445191,5.951882147789002,0.5339666128158569,population_generation_32.json
33,10,0.21987,0.22875300000000004,0.23196,0.21987,0.23355,126.86123020648957,120.43127033710479,5.891205883026123,0.5387539863586426,population_generation_33.json
34,10,0.21987,0.22875300000000004,0.23196,0.21987,0.23355,126.86123020648957,120.43127033710479,5.891205883026123,0.5387539863586426,population_generation_34.json
35,10,0.21987,0.228091,0.23054,0.21987,0.23258,131.18414056301117,124.76099331378937,5.882200789451599,0.5409464597702026,population_generation_35.json
36,10,0.21987,0.228091,0.23054,0.21987,0.23258,131.18414056301117,124.76099331378937,5.882200789451599,0.5409464597702026,population_generation_36.json
37,10,0.21987,0.22701200000000005,0.22934,0.21987,0.23251,121.4637018442154,115.14898238182067,5.772842502593994,0.5418769598007203,population_generation_37.json
38,10,0.21987,0.22568700000000003,0.22851,0.21987,0.23054,136.9483209848404,130.62667665481567,5.7728030443191525,0.5488412857055665,population_generation_38.json
39,10,0.21781,0.22441399999999997,0.22399,0.21781,0.22938,108.30821223258972,101.95588059425354,5.798557591438294,0.5537740468978882,population_generation_39.json
40,10,0.21781,0.22412599999999996,0.22399,0.21781,0.22934,126.51055841445923,120.14663202762604,5.810671496391296,0.5532548904418946,population_generation_40.json
41,10,0.21781,0.22346099999999997,0.22399,0.21781,0.22851,127.53501422405243,120.94912753105163,6.000166535377502,0.585720157623291,population_generation_41.json
42,10,0.21507,0.22141100000000002,0.22179,0.21507,0.22586,112.69080336093903,105.51573214530944,6.521132612228394,0.653938603401184,population_generation_42.json
43,10,0.21507,0.21961999999999998,0.21997,0.21507,0.22307,108.56607620716095,101.26023378372193,6.644666981697083,0.6611754417419433,population_generation_43.json
44,10,0.21507,0.21961999999999998,0.21997,0.21507,0.22307,108.56607620716095,101.26023378372193,6.644666981697083,0.6611754417419433,population_generation_44.json
45,10,0.21507,0.21961999999999998,0.21997,0.21507,0.22307,108.56607620716095,101.26023378372193,6.644666981697083,0.6611754417419433,population_generation_45.json
46,10,0.21507,0.21948499999999999,0.21997,0.21507,0.22268,85.40266954898834,78.05849483013154,6.681175374984742,0.6629993438720703,population_generation_46.json
