evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
58,6,8,d3a5d89159986dfe52f84096c56ad8b2,0.23916,0.23766,e2,76,21,17.629250832631268
59,6,9,e0c311d2192031665286652c5c283e4e,0.2392,0.23766,m1,78,21,17.61435130164124
60,6,10,53304422d747dcfbbb8a378da8998ff3,0.23921,0.23766,m2,26,21,17.70491796641313
61,7,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,21,17.567708798372482
62,7,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,21,17.39351016986982
63,7,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,21,17.33206432602276
64,7,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,21,17.17775714895279
65,7,5,bcfccba27da72a8a1edc880cbb968d3f,0.23908,0.23766,m2,68,21,17.2873817287543
66,7,6,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,21,17.146841145048263
67,7,7,21e9f9fa1a4e484aad9eff6893126862,0.23915,0.23766,m1,8,21,17.10935527939325
68,7,8,d3a5d89159986dfe52f84096c56ad8b2,0.23916,0.23766,e2,76,21,17.226234828219336
69,7,9,b878f1a301ca60a1cce0b5f7eb8dd5cc,0.23917,0.23766,t2,64,22,17.83088253807019
70,7,10,9da009778b80cd46ccdac7176fd17103,0.23919,0.23766,m1,53,23,18.442388369241
71,8,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,23,18.30526806742667
72,8,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,23,18.140337419648418
73,8,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,23,18.061505139923884
74,8,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,23,17.9130703911072
75,8,5,9cf8d08ec3a5dae34dcac54591ac3da9,0.23904,0.23766,m2,52,24,18.501789348220445
76,8,6,bcfccba27da72a8a1edc880cbb968d3f,0.23908,0.23766,m2,68,24,18.54002948534006
77,8,7,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,24,18.396885309388068
78,8,8,21e9f9fa1a4e484aad9eff6893126862,0.23915,0.23766,m1,8,24,18.334423865987002
79,8,9,f9076065cc8a0b2a67977388dffe86cd,0.23916,0.23766,t2,85,25,18.9129639910431
80,8,10,b878f1a301ca60a1cce0b5f7eb8dd5cc,0.23917,0.23766,t2,64,25,19.162739032107243
81,9,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,25,19.026277937304833
82,9,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,25,18.868066919459807
83,9,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,25,18.778374902193704
84,9,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,25,18.634213744983114
85,9,5,1b40ff5304cc66a5851f5756ed30e57b,0.23894,0.23766,e1,5,26,19.19307039243971
86,9,6,9cf8d08ec3a5dae34dcac54591ac3da9,0.23904,0.23766,m2,52,26,19.441873072865615
87,9,7,bcfccba27da72a8a1edc880cbb968d3f,0.23908,0.23766,m2,68,26,19.439794374365057
88,9,8,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,26,19.299984498850208
89,9,9,8e1ed2877fc5340f98bdd242446ddc8d,0.23912,0.23766,m1,47,27,19.854911443658228
90,9,10,ac9a5fe1da3630bfad3fa4d2dc5f002c,0.23915,0.23766,e1,57,28,20.41547980067188
91,10,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,28,20.270077051863932
92,10,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,28,20.106893208079722
