evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
61,7,1,2f33904cf15ce2991f0d14ccec673216,0.09082,0.09082,m2,8,23,18.487322443687212
62,7,2,d663f4daf5edfeb90df043139cceff05,0.09084,0.09082,e2,40,23,18.47319409493809
63,7,3,de43037738a79604b722fe5c3624eadc,0.09154,0.09082,m1,43,23,18.564109520115863
64,7,4,3728cd9976afb3bb44063750317d0043,0.09159,0.09082,e2,10,23,18.81039961669389
65,7,5,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09082,e1,35,23,18.626508438088468
66,7,6,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09082,m1,5,23,18.454208075608864
67,7,7,579fcfdb23a35e28336af6eff8b1d61f,0.09216,0.09082,m2,16,23,18.463178317772034
68,7,8,ff0fce54133e01f971edc066474b75de,0.09222,0.09082,m2,51,23,18.30785564635599
69,7,9,408bf5d4597016947602de4884cd398d,0.09242,0.09082,e1,13,23,18.162156186971185
70,7,10,6e65cebbfe4b23ef4eeb4451b1417cf5,0.09252,0.09082,m1,25,23,18.12068127012742
71,8,1,2f33904cf15ce2991f0d14ccec673216,0.09082,0.09082,m2,8,23,18.084103820515136
72,8,2,d663f4daf5edfeb90df043139cceff05,0.09084,0.09082,e2,40,23,18.052144296395827
73,8,3,de43037738a79604b722fe5c3624eadc,0.09154,0.09082,m1,43,23,18.087039286374914
74,8,4,3728cd9976afb3bb44063750317d0043,0.09159,0.09082,e2,10,23,18.207827068832014
75,8,5,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09082,e1,35,23,18.061488132011686
76,8,6,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09082,m1,5,23,17.923274678755412
77,8,7,579fcfdb23a35e28336af6eff8b1d61f,0.09216,0.09082,m2,16,23,17.911447213671376
78,8,8,ff0fce54133e01f971edc066474b75de,0.09222,0.09082,m2,51,23,17.785745490388287
79,8,9,408bf5d4597016947602de4884cd398d,0.09242,0.09082,e1,13,23,17.666942016283922
80,8,10,6e65cebbfe4b23ef4eeb4451b1417cf5,0.09252,0.09082,m1,25,23,17.62298137378644
81,9,1,2f33904cf15ce2991f0d14ccec673216,0.09082,0.09082,m2,8,23,17.582924826242802
82,9,2,d663f4daf5edfeb90df043139cceff05,0.09084,0.09082,e2,40,23,17.546574641739635
83,9,3,de43037738a79604b722fe5c3624eadc,0.09154,0.09082,m1,43,23,17.556285297891336
84,9,4,3728cd9976afb3bb44063750317d0043,0.09159,0.09082,e2,10,23,17.621214524712393
85,9,5,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09082,e1,35,23,17.503063776168283
86,9,6,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09082,m1,5,23,17.390804477800476
