model,raw_model,generation,objective,best_so_far,operator,phase,is_improvement,delta_from_previous_best
Gemini,gemini-2.5-flash,3,0.263360000000,0.263360000000,e2,Early,0,0.000000000000
Gemini,gemini-2.5-flash,4,0.263360000000,0.263360000000,e2,Early,0,0.000000000000
Gemini,gemini-2.5-flash,5,0.261960000000,0.261960000000,m1,Early,1,0.001400000000
Gemini,gemini-2.5-flash,6,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,7,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,8,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,9,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,10,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,11,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,12,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,13,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,14,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,15,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,16,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,17,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,18,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,19,0.261450000000,0.261450000000,t2,Middle,1,0.000510000000
Gemini,gemini-2.5-flash,20,0.261450000000,0.261450000000,t2,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,21,0.261450000000,0.261450000000,t2,Late,0,0.000000000000
Gemini,gemini-2.5-flash,22,0.261450000000,0.261450000000,t2,Late,0,0.000000000000
Gemini,gemini-2.5-flash,23,0.260240000000,0.260240000000,e1,Late,1,0.001210000000
Gemini,gemini-2.5-flash,24,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,25,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,26,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,27,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,28,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,29,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,30,0.260240000000,0.260240000000,e1,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,1,0.277890000000,0.277890000000,m2,Early,1,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,2,0.260030000000,0.260030000000,m1,Early,1,0.017860000000
GPT-5.1-Codex,gpt-5.1-codex-ca,3,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,4,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,5,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,6,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,7,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,8,0.260030000000,0.260030000000,m1,Early,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,9,0.258900000000,0.258900000000,e1,Early,1,0.001130000000
GPT-5.1-Codex,gpt-5.1-codex-ca,10,0.257620000000,0.257620000000,e2,Early,1,0.001280000000
GPT-5.1-Codex,gpt-5.1-codex-ca,11,0.257620000000,0.257620000000,e2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,12,0.257620000000,0.257620000000,e2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,13,0.257620000000,0.257620000000,e2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,14,0.257620000000,0.257620000000,e2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,15,0.257620000000,0.257620000000,e2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,16,0.256450000000,0.256450000000,m2,Middle,1,0.001170000000
GPT-5.1-Codex,gpt-5.1-codex-ca,17,0.256450000000,0.256450000000,m2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,18,0.256450000000,0.256450000000,m2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,19,0.256450000000,0.256450000000,m2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,20,0.256450000000,0.256450000000,m2,Middle,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,21,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,22,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,23,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,24,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,25,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,26,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,27,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
GPT-5.1-Codex,gpt-5.1-codex-ca,28,0.256450000000,0.256450000000,m2,Late,0,0.000000000000
Kimi,kimi-k2.5,1,0.258790000000,0.258790000000,e2,Early,1,0.000000000000
Kimi,kimi-k2.5,2,0.258790000000,0.258790000000,e2,Early,0,0.000000000000
Kimi,kimi-k2.5,3,0.256850000000,0.256850000000,e1,Early,1,0.001940000000
Kimi,kimi-k2.5,4,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,5,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,6,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,7,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,8,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,9,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,10,0.256850000000,0.256850000000,e1,Early,0,0.000000000000
Kimi,kimi-k2.5,11,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,12,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,13,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,14,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,15,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,16,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,17,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,18,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,19,0.256850000000,0.256850000000,e1,Middle,0,0.000000000000
Kimi,kimi-k2.5,20,0.256270000000,0.256270000000,m1,Middle,1,0.000580000000
Kimi,kimi-k2.5,21,0.256270000000,0.256270000000,m1,Late,0,0.000000000000
Kimi,kimi-k2.5,22,0.256270000000,0.256270000000,m1,Late,0,0.000000000000
Kimi,kimi-k2.5,23,0.256270000000,0.256270000000,m1,Late,0,0.000000000000
Kimi,kimi-k2.5,24,0.255930000000,0.255930000000,e2,Late,1,0.000340000000
Kimi,kimi-k2.5,25,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
Kimi,kimi-k2.5,26,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
Kimi,kimi-k2.5,27,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
Kimi,kimi-k2.5,28,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
Kimi,kimi-k2.5,29,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
Kimi,kimi-k2.5,30,0.255930000000,0.255930000000,e2,Late,0,0.000000000000
