method,stage,start_step,end_step,n_nodes,feature,mean,std
CoreHD,Stage 2,300,598,299,degree_pct,0.8371642239986403,0.05225847444587274
CoreHD,Stage 2,300,598,299,core_pct,0.8078069213213778,0.11381541832108973
CoreHD,Stage 2,300,598,299,betweenness_pct,0.8080607485779524,0.08898462926392256
CoreHD,Stage 2,300,598,299,clustering_pct,0.27681763238433255,0.1440120925382697
CoreHD,Stage 2,300,598,299,eigenvector_pct,0.7522768975823793,0.18070111370110084
CoreHD,Stage 2,300,598,299,unvisited_neighbor_ratio,0.5618804401730958,0.10308730256593268
CoreHD,Stage 3,599,1196,598,degree_pct,0.658440483099242,0.1339554335210561
CoreHD,Stage 3,599,1196,598,core_pct,0.6489060268877983,0.17803808734060508
CoreHD,Stage 3,599,1196,598,betweenness_pct,0.64210468641152,0.15588138138047933
CoreHD,Stage 3,599,1196,598,clustering_pct,0.42500327068161003,0.18459239894298723
CoreHD,Stage 3,599,1196,598,eigenvector_pct,0.608897483979251,0.21683008342392138
CoreHD,Stage 3,599,1196,598,unvisited_neighbor_ratio,0.3665989196862045,0.11305585188609277
CoreHD,Stage 4,1197,1795,599,degree_pct,0.4245203613065127,0.17681633809184574
CoreHD,Stage 4,1197,1795,599,core_pct,0.4351407031333288,0.20483325658745033
CoreHD,Stage 4,1197,1795,599,betweenness_pct,0.4544496036802673,0.19105238583969208
CoreHD,Stage 4,1197,1795,599,clustering_pct,0.5780474422711651,0.21711342266927042
CoreHD,Stage 4,1197,1795,599,eigenvector_pct,0.437774927453479,0.22258860412508666
CoreHD,Stage 4,1197,1795,599,unvisited_neighbor_ratio,0.22896655561881082,0.13607147253571844
CoreHD,Stage 5,1796,2992,1197,degree_pct,0.26270596808526386,0.18105291781855368
CoreHD,Stage 5,1796,2992,1197,core_pct,0.280086709585733,0.2005415057574589
CoreHD,Stage 5,1796,2992,1197,betweenness_pct,0.2656063428380379,0.19456841780444092
CoreHD,Stage 5,1796,2992,1197,clustering_pct,0.647714656081863,0.29301246991319285
CoreHD,Stage 5,1796,2992,1197,eigenvector_pct,0.3126339475122667,0.2208481732031499
CoreHD,Stage 5,1796,2992,1197,unvisited_neighbor_ratio,0.040059328626682746,0.0843218123250511
CI(l=3),Stage 1,1,299,299,degree_pct,0.8012761808278793,0.11560561294201488
